,time,formatted_time,tesBed.TOut.y,tesBed.weaBus.TWetBul,tesBed.weaBus.relHum,tesBed.weaBus.HGloHor,tesBed.uMod,tesBed.uModActual.y,tesBed.occSch.occupied,tesBed.modCon.y,tesBed.iceTan.SOC,tesBed.chi.TSet,tesBed.iceTan.TOutSet,tesBed.TCHWSup.T,tesBed.TCHWRetCoi.T,tesBed.priPum.m_flow,tesBed.secPum.m_flow,tesBed.senRelPre.p_rel,tesBed.conAHU.TSupSet,tesBed.conAHU.TSup,tesBed.senSupFlo.V_flow,tesBed.conVAVCor.damVal.VDisSet_flow,tesBed.VSupCor_flow.V_flow,tesBed.conVAVSou.damVal.VDisSet_flow,tesBed.VSupSou_flow.V_flow,tesBed.conVAVEas.damVal.VDisSet_flow,tesBed.VSupEas_flow.V_flow,tesBed.conVAVNor.damVal.VDisSet_flow,tesBed.VSupNor_flow.V_flow,tesBed.conVAVWes.damVal.VDisSet_flow,tesBed.VSupWes_flow.V_flow,tesBed.conAHU.TZonCooSet,tesBed.conAHU.TZonHeaSet,tesBed.conVAVCor.TZon,tesBed.conVAVSou.TZon,tesBed.conVAVEas.TZon,tesBed.conVAVNor.TZon,tesBed.conVAVWes.TZon,tesBed.ave.y,tesBed.chi.P,tesBed.priPum.P,tesBed.secPum.P,tesBed.fanSup.P
0,18316800.0,08-01 00:00,294.45,290.23264,0.66,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,293.15,293.15,3.9682539,0.3945946,6921.519,285.15,293.15,0.0,0.6745,0.0,0.1421925,0.0,0.13502944,0.0,0.1421925,0.0,0.10502289,0.0,297.15,293.15,297.15,297.15,297.15,297.15,297.15,297.15,19135.225,1513.3334,4.8064404,0.0
1,18317700.0,08-01 00:15,294.225,290.57742,0.701281,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.18414,3.9682539,2.7267017,50047.484,285.15,285.40808,1.2073671,0.6745,0.679446,0.1421925,0.14323516,0.13502944,0.13601957,0.1421925,0.14323516,0.10502289,0.10579301,297.15,293.15,296.13724,296.06412,295.87878,296.06393,295.9812,296.02505,6043.151,1507.6923,271.49686,141.58572
2,18318600.0,08-01 00:30,294.0,291.20114,0.76596504,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.08026,3.9682539,3.302837,77366.71,285.33,285.19202,1.2053151,0.6745,0.678249,0.1421925,0.14298283,0.13502944,0.13577995,0.1421925,0.14298283,0.10502289,0.10560663,297.15,293.15,295.99564,295.98312,295.7704,296.00677,295.91125,295.93344,6282.8564,1507.1404,509.18848,127.180595
3,18319500.0,08-01 00:45,293.775,291.7846,0.8301666,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.6525,3.9682539,2.641737,59560.44,285.6,285.60162,1.2050147,0.6745,0.6780736,0.1421925,0.14294586,0.13502944,0.13574484,0.1421925,0.14294586,0.10502289,0.105579324,297.15,293.15,295.97162,295.99133,295.7341,295.9935,295.89374,295.91687,6353.881,1507.8019,313.05963,124.78322
4,18320400.0,08-01 01:00,293.55,292.04834,0.87,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.9704,3.9682539,2.3713744,54206.695,285.87,285.84045,1.2049704,0.6745,0.6780477,0.1421925,0.1429404,0.13502944,0.13573965,0.1421925,0.1429404,0.10502289,0.105575286,297.15,293.15,295.9616,295.97702,295.73444,295.95016,295.876,295.89984,6377.1753,1508.199,255.47528,124.41772
5,18321300.0,08-01 01:15,293.325,292.0457,0.8881776,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,286.31888,3.9682539,2.022984,53896.094,286.14,286.12482,1.2049667,0.6745,0.6780456,0.1421925,0.14293994,0.13502944,0.13573922,0.1421925,0.14293994,0.10502289,0.10557495,297.15,293.15,295.95435,295.96313,295.71466,295.9512,295.8615,295.88898,6293.4644,1508.8188,216.37357,124.36015
6,18322200.0,08-01 01:30,293.1,292.00916,0.90378606,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,286.63943,3.9682539,1.7486768,53602.777,286.41,286.40125,1.204964,0.6745,0.678044,0.1421925,0.14293963,0.13502944,0.13573892,0.1421925,0.14293963,0.10502289,0.10557472,297.15,293.15,295.9509,295.93134,295.7124,295.9499,295.85278,295.87946,6202.4414,1509.3927,185.75899,124.35141
7,18323100.0,08-01 01:45,292.875,291.9477,0.9175015,0.0,2.0,2.0,0.0,4.0,0.49999997,283.15,283.15,283.15,286.93964,3.9682539,1.5214125,53514.633,286.68,286.67395,1.2049625,0.6745,0.6780431,0.1421925,0.14293943,0.13502944,0.13573875,0.1421925,0.14293943,0.10502289,0.10557458,297.15,293.15,295.94992,295.93887,295.71082,295.9409,295.8277,295.87363,6105.7983,1509.9254,161.14551,124.35047
8,18324000.0,08-01 02:00,292.65,291.86972,0.93,0.0,2.0,2.0,0.0,4.0,0.49999997,283.15,283.15,283.15,287.22363,3.9682539,1.3278204,53446.062,286.95,286.9455,1.2049655,0.6745,0.6780449,0.1421925,0.1429398,0.13502944,0.13573909,0.1421925,0.1429398,0.10502289,0.10557485,297.15,293.15,295.95154,295.93243,295.70923,295.90152,295.83774,295.8665,6006.1934,1510.4202,140.29352,124.34975
9,18324900.0,08-01 02:15,292.4364,291.80518,0.94290864,0.0,1.0,1.0,0.0,3.0,0.49496776,283.15,283.15,283.15,287.33762,3.9682539,1.0927248,53078.76,287.2063,287.3038,1.2045083,0.6745,0.6777779,0.1421925,0.14288352,0.13502944,0.13568565,0.1421925,0.14288352,0.10502289,0.10553328,297.15,293.15,296.00198,295.96518,295.7537,295.9198,295.88034,295.9042,0.0,2368.8413,114.47457,119.05148
10,18325800.0,08-01 02:30,292.23874,291.75204,0.95564103,0.0,1.0,1.0,0.0,3.0,0.49157855,283.15,283.15,283.1499,287.2588,3.9682539,1.091945,53003.03,287.4435,287.36716,1.2049816,0.6745,0.67805415,0.1421925,0.14294176,0.13502944,0.13574095,0.1421925,0.14294176,0.10502289,0.10557629,297.15,293.15,295.96375,295.92514,295.71625,295.88156,295.8395,295.86523,0.0,2379.659,114.22742,122.78337
11,18326700.0,08-01 02:45,292.04672,291.6714,0.96555287,0.0,1.0,1.0,0.0,3.0,0.48801434,283.15,283.15,283.1499,287.60666,3.9682539,1.091915,53000.117,287.67395,287.82413,1.2050545,0.6745,0.6780967,0.1421925,0.14295073,0.13502944,0.13574947,0.1421925,0.14295073,0.10502289,0.10558292,297.15,293.15,295.96194,295.91537,295.71176,295.87228,295.8328,295.85883,0.0,2437.6184,114.21791,123.36054
12,18327600.0,08-01 03:00,291.85004,291.52512,0.9699998,0.0,1.0,1.0,0.0,3.0,0.48425525,283.15,283.15,283.14996,288.10074,3.9682539,1.0919139,53000.004,287.90994,288.14273,1.2050656,0.6745,0.6781032,0.1421925,0.1429521,0.13502944,0.13575077,0.1421925,0.1429521,0.10502289,0.10558393,297.15,293.15,295.9627,295.90833,295.70987,295.86673,295.82968,295.85547,0.0,2489.0408,114.217545,123.44908
