,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18576000.0,0.0,1.0,0.0,293.15,294.15,283.15,283.15,293.15,293.15,297.15,297.15,297.15,297.15,297.15,0.5,299.25,297.26176070045767,0.0,1.0,0.0,0.0,0.0,0.0
18576060.0,0.0,1.0,0.005009668455219337,293.15000241688534,294.15,283.15,283.15,293.15,293.15,297.15466659483735,297.03389406771754,297.0175982994014,297.0200551826937,297.0155834749065,0.5,299.2569238916947,297.26505972008914,0.0,1.0,0.0,0.0,0.0,-1.835410759027205e-06
18576120.0,0.0,1.0,0.005089371824243725,293.15252357997167,294.15,283.15,283.15,293.15,293.15,297.1516534962632,296.95291151363415,296.92982269803866,296.9283475537033,296.92658716928804,0.5,299.2635561167228,297.26830202169646,0.0,1.0,0.0,0.0,0.0,-1.8942780130179999e-06
18576180.0,0.0,1.0,0.0008983950424798864,293.1981684883178,294.15,283.15,283.15,293.15,293.15,297.14275813039524,296.90505778893953,296.8823935482639,296.87333229100255,296.87798618110884,0.5,299.2698996212121,297.271484920265,0.0,1.0,0.0,0.0,0.0,-5.902688030468591e-08
18576240.0,0.0,1.0,0.0008046842474911444,293.19795317355255,294.15,283.15,283.15,293.15,293.15,297.13191601285916,296.884090717589,296.8652269377634,296.8479945624939,296.8597775691566,0.5,299.2759573512907,297.2746057103476,0.0,1.0,0.0,0.0,0.0,-4.7355031608245693e-08
18576300.0,0.0,1.0,0.0008149966732948458,293.1977454939341,294.15,283.15,283.15,293.15,293.15,297.12180713273807,296.88128250842465,296.86604718076154,296.8424016922881,296.859852669133,0.5,299.2817322530864,297.2776616670188,0.0,1.0,0.0,0.0,0.0,-4.8576565014712e-08
18576360.0,0.0,1.0,0.0008145004487691759,293.19753813192955,294.15,283.15,283.15,293.15,293.15,297.11391932281674,296.8896381845451,296.8768261272381,296.84890933613696,296.8701247443069,0.5,299.28722727272725,297.2806500468119,0.0,1.0,0.0,0.0,0.0,-4.8517429391268134e-08
18576420.0,0.0,1.0,0.0008141917042051376,293.19733183849337,294.15,283.15,283.15,293.15,293.15,297.10873079748785,296.90456329371057,296.89294695821707,296.862640618209,296.88591077995625,0.5,299.29244535634115,297.28356808864,0.0,1.0,0.0,0.0,0.0,-4.848065400328253e-08
18576480.0,0.0,1.0,0.0008138483387550536,293.1971265360249,294.15,283.15,283.15,293.15,293.15,297.10595908822415,296.92276844229286,296.9115482444452,296.88016880692356,296.90428143307014,0.5,299.2973894500561,297.2864130146982,0.0,1.0,0.0,0.0,0.0,-4.8439771221394843e-08
18576540.0,0.0,1.0,0.0008134753085453686,293.19692243459923,294.15,283.15,283.15,293.15,293.15,297.10577518396013,296.94302263835453,296.93162015204774,296.90033180463377,296.9242031459803,0.5,299.3020625,297.28918203134964,0.0,1.0,0.0,0.0,0.0,-4.8395375962842066e-08
18576600.0,0.0,1.0,0.0008130750154557583,293.196719346114,294.15,283.15,283.15,293.15,293.15,297.1073164321957,296.9636085997113,296.9518993678845,296.92129600437437,296.944355109257,0.5,299.30646745230075,297.2918723299926,0.0,1.0,0.0,0.0,0.0,-4.834775872938032e-08
